,,Time,Angle
4.60368,-10.1074,0,10.1074
4.63053,-9.3164,0.02685,9.3164
4.64881,-6.7676,0.04513,6.7676
4.68283,-2.9004,0.07915,2.9004
4.70731,0.5273,0.10363,-0.5273
4.73218,2.9883,0.1285,-2.9883
4.76035,4.2188,0.15667,-4.2188
4.78521,4.1309,0.18153,-4.1309
4.81178,3.3398,0.2081,-3.3398
4.83588,2.5488,0.2322,-2.5488
4.86216,1.8457,0.25848,-1.8457
4.88701,1.2305,0.28333,-1.2305
4.91413,0.9668,0.31045,-0.9668
4.93774,0.9668,0.33406,-0.9668
4.96502,0.9668,0.36134,-0.9668
4.98806,1.1426,0.38438,-1.1426
5.01609,1.2305,0.41241,-1.2305
5.03747,1.2305,0.43379,-1.2305
5.06594,1.2305,0.46226,-1.2305
5.0907,1.2305,0.48702,-1.2305
5.1202,1.2305,0.51652,-1.2305
5.14524,1.2305,0.54156,-1.2305
5.16981,1.2305,0.56613,-1.2305
5.19593,1.2305,0.59225,-1.2305
5.22179,1.2305,0.61811,-1.2305
5.24721,1.1426,0.64353,-1.1426
5.27183,1.2305,0.66815,-1.2305
5.29887,1.2305,0.69519,-1.2305
5.32486,1.2305,0.72118,-1.2305
5.35064,1.2305,0.74696,-1.2305
5.37355,1.3184,0.76987,-1.3184
5.40212,1.2305,0.79844,-1.2305
5.42836,1.2305,0.82468,-1.2305
5.45247,1.2305,0.84879,-1.2305
5.47903,1.2305,0.87535,-1.2305
5.50314,1.2305,0.89946,-1.2305
5.53018,1.2305,0.9265,-1.2305
5.55508,1.2305,0.9514,-1.2305
5.58047,1.2305,0.97679,-1.2305
5.60462,1.2305,1.00094,-1.2305
5.63297,1.2305,1.02929,-1.2305
5.65431,1.2305,1.05063,-1.2305
5.68382,1.2305,1.08014,-1.2305
5.71073,1.2305,1.10705,-1.2305
5.73543,1.2305,1.13175,-1.2305
5.75407,1.2305,1.15039,-1.2305
5.78658,1.2305,1.1829,-1.2305
5.81274,1.2305,1.20906,-1.2305
5.83696,1.2305,1.23328,-1.2305
5.86372,1.2305,1.26004,-1.2305
5.88664,1.2305,1.28296,-1.2305
5.91424,1.2305,1.31056,-1.2305
5.93798,1.2305,1.3343,-1.2305
5.96718,1.2305,1.3635,-1.2305
5.98895,1.2305,1.38527,-1.2305
6.01782,1.2305,1.41414,-1.2305
6.04428,1.2305,1.4406,-1.2305
6.06952,1.2305,1.46584,-1.2305
6.0953,1.2305,1.49162,-1.2305
6.12012,1.2305,1.51644,-1.2305
6.14613,1.2305,1.54245,-1.2305
6.16994,1.2305,1.56626,-1.2305
6.19748,1.2305,1.5938,-1.2305
6.21944,1.2305,1.61576,-1.2305
6.24893,1.2305,1.64525,-1.2305
6.26984,1.2305,1.66616,-1.2305
6.30097,1.2305,1.69729,-1.2305
6.32694,1.2305,1.72326,-1.2305
6.35201,1.2305,1.74833,-1.2305
6.37732,1.2305,1.77364,-1.2305
6.40364,1.2305,1.79996,-1.2305
6.42841,1.2305,1.82473,-1.2305
6.45327,1.3184,1.84959,-1.3184
6.48028,1.2305,1.8766,-1.2305
6.50392,1.2305,1.90024,-1.2305
6.53143,1.2305,1.92775,-1.2305
6.55765,1.2305,1.95397,-1.2305
6.58354,1.2305,1.97986,-1.2305
6.61012,1.2305,2.00644,-1.2305
6.63472,1.2305,2.03104,-1.2305
6.65992,1.2305,2.05624,-1.2305
6.68313,1.2305,2.07945,-1.2305
6.71144,1.2305,2.10776,-1.2305
6.73691,1.2305,2.13323,-1.2305
6.76273,1.2305,2.15905,-1.2305
6.78498,1.2305,2.1813,-1.2305
6.81406,1.2305,2.21038,-1.2305
6.83652,1.2305,2.23284,-1.2305
6.86273,1.2305,2.25905,-1.2305
6.88514,1.2305,2.28146,-1.2305
6.9132,1.2305,2.30952,-1.2305
6.94348,1.2305,2.3398,-1.2305
6.96608,1.2305,2.3624,-1.2305
6.99427,1.2305,2.39059,-1.2305
7.01905,1.2305,2.41537,-1.2305
7.04502,1.2305,2.44134,-1.2305
7.07087,1.2305,2.46719,-1.2305
7.09634,1.3184,2.49266,-1.3184
7.12037,1.2305,2.51669,-1.2305
7.14779,1.2305,2.54411,-1.2305
7.16746,1.2305,2.56378,-1.2305
7.19904,1.2305,2.59536,-1.2305
7.22609,1.2305,2.62241,-1.2305
7.25046,1.2305,2.64678,-1.2305
7.27588,1.2305,2.6722,-1.2305
7.30064,1.2305,2.69696,-1.2305
7.32809,1.2305,2.72441,-1.2305
7.35318,1.2305,2.7495,-1.2305
7.37861,1.2305,2.77493,-1.2305
7.4041,1.2305,2.80042,-1.2305
7.43039,1.2305,2.82671,-1.2305
7.45514,1.2305,2.85146,-1.2305
7.48046,1.2305,2.87678,-1.2305
7.50677,1.2305,2.90309,-1.2305
7.53321,1.2305,2.92953,-1.2305
7.5595,1.2305,2.95582,-1.2305
7.58453,1.2305,2.98085,-1.2305
7.61046,1.2305,3.00678,-1.2305
7.6354,1.2305,3.03172,-1.2305
7.66143,1.2305,3.05775,-1.2305
7.68633,1.2305,3.08265,-1.2305
7.71297,1.2305,3.10929,-1.2305
7.73553,1.2305,3.13185,-1.2305
7.76373,1.2305,3.16005,-1.2305
7.80119,1.2305,3.19751,-1.2305
7.81583,1.2305,3.21215,-1.2305
7.84155,1.2305,3.23787,-1.2305
7.86715,1.2305,3.26347,-1.2305
7.8931,1.2305,3.28942,-1.2305
7.91785,1.2305,3.31417,-1.2305
7.94415,1.2305,3.34047,-1.2305
7.96815,1.2305,3.36447,-1.2305
7.9952,1.2305,3.39152,-1.2305
8.01803,1.2305,3.41435,-1.2305
8.04572,1.2305,3.44204,-1.2305
8.07045,1.2305,3.46677,-1.2305
8.09846,1.2305,3.49478,-1.2305
8.11779,1.2305,3.51411,-1.2305
8.14912,1.2305,3.54544,-1.2305
8.17546,1.2305,3.57178,-1.2305
8.20061,1.2305,3.59693,-1.2305
8.22641,1.2305,3.62273,-1.2305
8.25122,1.2305,3.64754,-1.2305
8.27835,1.2305,3.67467,-1.2305
8.29997,1.2305,3.69629,-1.2305
8.32878,1.2305,3.7251,-1.2305
8.34835,1.2305,3.74467,-1.2305
8.38023,1.2305,3.77655,-1.2305
8.40086,1.2305,3.79718,-1.2305
8.43174,1.2305,3.82806,-1.2305
8.45869,1.2305,3.85501,-1.2305
8.48308,1.2305,3.8794,-1.2305
8.50969,1.2305,3.90601,-1.2305
8.5339,1.2305,3.93022,-1.2305
8.56062,1.3184,3.95694,-1.3184
8.5847,1.2305,3.98102,-1.2305
8.61185,1.2305,4.00817,-1.2305
8.63325,1.2305,4.02957,-1.2305
8.66302,1.2305,4.05934,-1.2305
8.68416,1.2305,4.08048,-1.2305
8.71439,1.2305,4.11071,-1.2305
8.74141,1.2305,4.13773,-1.2305
8.76651,1.2305,4.16283,-1.2305
